job_id,degree,bipartite_degree_centrality,pagerank,is_isolate,component_size,community_global,community_size
J_000032,31,0.0031,0.00018364221594607567,0,1559,4,1559
J_000033,32,0.0032,0.00018957141338368143,0,1628,0,1628
J_000034,34,0.0034,0.00019753599511673065,0,1628,0,1628
J_000035,32,0.0032,0.00020326950124083194,0,1565,2,1565
J_000036,34,0.0034,0.00019780011895653875,0,1628,0,1628
J_000037,31,0.0031,0.0001794189158879409,0,3102,6,1531
J_000038,32,0.0032,0.00019051058158206264,0,1559,4,1559
J_000039,32,0.0032,0.00019672417527720378,0,1559,4,1559
J_000040,33,0.0033,0.0001978807544557928,0,1562,3,1562
J_000041,33,0.0033,0.0002138322397793012,0,1565,2,1565
J_000042,33,0.0033,0.00018603054270936031,0,1505,7,1505
J_000043,35,0.0035,0.00020553648578978208,0,1559,4,1559
J_000044,32,0.0032,0.00018198249064504932,0,1562,3,1562
J_000045,33,0.0033,0.0001971293808518509,0,1562,3,1562
J_000046,36,0.0036,0.0002161032264095019,0,1562,3,1562
J_000047,33,0.0033,0.00018903955174941238,0,1562,3,1562
J_000048,30,0.003,0.0001670897542143098,0,3102,1,1571
J_000049,32,0.0032,0.00019338586363456587,0,1550,5,1550
J_000050,30,0.003,0.0001786856885696535,0,1559,4,1559
J_000051,31,0.0031,0.00019151802738597625,0,1565,2,1565
J_000052,34,0.0034,0.00019753846013253844,0,3102,1,1571
J_000053,33,0.0033,0.0001894067446014573,0,1505,7,1505
J_000054,31,0.0031,0.0001811825227403073,0,1562,3,1562
J_000055,35,0.0035,0.00020027406922408029,0,1559,4,1559
J_000056,33,0.0033,0.00019079522526228268,0,3102,6,1531
J_000057,31,0.0031,0.0001850708977240107,0,1559,4,1559
J_000058,32,0.0032,0.0001782781433149075,0,3102,1,1571
J_000059,32,0.0032,0.00017987552030067694,0,3102,6,1531
J_000060,33,0.0033,0.00019921905621206456,0,1562,3,1562
J_000061,35,0.0035,0.00019442045234221926,0,1505,7,1505
J_000062,32,0.0032,0.00018681522350997415,0,3102,1,1571
J_000063,32,0.0032,0.00018284400286796014,0,1505,7,1505
J_000064,33,0.0033,0.0001830613610623449,0,3102,6,1531
J_000065,31,0.0031,0.00017462353214895497,0,1559,4,1559
J_000066,31,0.0031,0.00019337700122777271,0,1628,0,1628
J_000067,33,0.0033,0.0001857665691702761,0,3102,6,1531
J_000068,34,0.0034,0.00022324168588511276,0,1550,5,1550
J_000069,33,0.0033,0.0001910818418558262,0,1505,7,1505
J_000070,31,0.0031,0.0001734766137895198,0,1505,7,1505
J_000071,32,0.0032,0.00018679144666772758,0,1559,4,1559
J_000072,33,0.0033,0.00020802015427014747,0,1628,0,1628
J_000073,35,0.0035,0.00021053537059328,0,1562,3,1562
J_000074,32,0.0032,0.0001926685724518183,0,1562,3,1562
J_000075,31,0.0031,0.00017532971849621118,0,1505,7,1505
J_000076,32,0.0032,0.00017257828632862135,0,3102,1,1571
J_000077,32,0.0032,0.00018241811657719524,0,3102,6,1531
J_000078,31,0.0031,0.00018943231530312612,0,1628,0,1628
J_000079,32,0.0032,0.0002067234797143315,0,1565,2,1565
J_000080,32,0.0032,0.00017722388436728487,0,3102,6,1531
J_000081,31,0.0031,0.0001980925440666747,0,1562,3,1562
J_000082,32,0.0032,0.00019693472763993418,0,1565,2,1565
J_000083,34,0.0034,0.00022015842829260085,0,1628,0,1628
J_000084,32,0.0032,0.00018498592141235723,0,3102,1,1571
J_000085,35,0.0035,0.00021996272921164675,0,1565,2,1565
